Code Nature Culture Spéciale;Libellé Nature Culture Spéciale
ABREU;Abreuvoirs
ABRIC;Abricotiers
ACACI;Acacias
AEROD;Aérodrome
AIRE;Aire ou airial
ALLEE;Allée
ALLUV;Alluvions
AMAND;Amandiers
ARDOI;Ardoisière
ARGIL;Argilière
ASPER;Aspergerie
AULN;Aulnaie
AVENU;Avenue
BALLA;Ballastière
BAMBO;Bambouseraie
BASS;Bassin
BIEF;Bief
BOUL;Boulaie
BROUS;Broussailles ou buissons
BRUY;Bruyère
BTIGE;Verger exploite en basses tiges
BUIS;Buissière
CAMP;Terrain de camping
CANAL;Canal
CASS;Cassis
CEDRA;Cédratiers
CERCL;Cercliere
CERIS;Cerisaie ou cerisiers
CHASS;Terrain de chasse
CHAT;Châtaigneraie
CHEM;Chemin (non groupe)
CHENE;Chênes
CHLIE;Chênes-lièges
CHTRU;Chênes -truffiers
CHVER;Chênes -verts
CIDRE;Cidre
CITRO;Citronniers
CLAIR;Claires
COING;Cognassiers
COULE;Bois de couleur
CRAY;Crayère
CRESS;Cressonnière
CRYPT;Cryptomeria
DIGUE;Digues
DUNE;Dunes
EAU;Pièce d'eau
ECOLE;Ecole
EPICE;Epicéas
ESPAL;Verger exploite en espaliers
ETANG;Etangs
EUCAL;Eucalyptus
FALAI;Falaise
FAMIL;Familial (jardin)
FER;Chemin de fer
FILAO;Filao
FLOR;Jardin floral
FONT;Fontaine
FOSSE;Fosse
FOUG;Fougeraie
FRAMB;Framboisiers
FRICH;Friche
GAREN;Garenne
GENET;Genets
GLAIS;Glaisière
GRAVE;Gravière
HAIES;Haies fruitières
HERB;Herbage
HETRE;Hêtres
HIST;Dépendances de monument historique
HORT;Jardin horticole
HOUBL;Houblon
HTIGE;Verger exploite en hautes tiges
HUITR;Parc à huîtres
IMM;Dépendances d'ensemble immobilier
IMPRO;Lande improductive
INTEN;Verger industriel
JARD;Jardin d'agrément
JETT;Jettins
JOUAL;Joualle
KIWIS;Kiwis
LAC;Lac
LAGUN;Lagune
LAVOI;Lavoir
LEGUM;Légumière de plein champ
MAQUI;Maquis
MARAI;Pré marais
MARAM;Jardin maraîcher aménagé
MARE;Mare
MAREC;Marécage
MARN;Marnière
MARNA;Jardin maraîcher non aménagé
MELEZ;Mélèzes
MOTTE;Mottes
MUR;Muraies ou muriers (vergers)
NATUR;Bois naturel
NOISE;Noiseraie ou noisetiers
NOYER;Noyeraie ou noyers
NPECH;Etang non pêchable
OLIVE;Oliveraie ou oliviers
ORANG;Orangers (verger)
ORME;Ormaie ou ormes
PACAG;Pacage
PAFEU;Pare -feux
PALMI;Bois palmiste
PARC;Parc
PASS;Passage (no groupe)
PATIS;Patis
PATUR;Pâture plantée
PECH;Etangs pêchables
PECHE;Pêchers
PEPIN;Pépinières
PIEDS;Pieds -mères (vignes)
PIERR;Pierraille, pierrier
PIN;Pins
PLAGE;Plage
PLATR;Plâtrière
PLVEN;Vergers de plein vent
POIRE;Poiriers
POMME;Pommiers
POTAG;Jardin potager
PROTE;Bois de protection
PRUNE;Pruniers
RAIS;Raisin de table
RESER;Réservoir
RESIN;Résineux
RIVAG;Rivage (bois de)
RIZ;Rizière
ROC;Rocs ou rochers
ROUI;Routoir ou ruissoir
RUE;Rue
RUINE;Ruines
SABLE;Sablière
SALIN;Marais salant
SAPIN;Sapins ou sapinière
SART;Sartières
SAULE;Saulaie ou saussaie
SERRE;Serre
SOL;Sol
SOURC;Source
SPORT;Terrain de sport
TAMAR;Tamarin
TAUZ;Taillis tauzin
TERRI;Terrils
TOURB;Tourbière
TOUYA;Touyas
VADC;Vins d'appellation d'origine contrôlée
VAGUE;Terrain vague
VANIL;Vanille
VAOC;Vins d'appellation d'origine contrôlée
VCHAS;Chasselat
VDQS;Vins délimités de qualité supérieure
VIGNE;Vigne
VIVIE;Vivier
